3998,1175266
26842,1184647
27424,1181419
30706,1134587
31215,1128010
32629,1131765
33496,1139049
34188,1141137
35890,1138837
38134,1120228
38137,1120236
38232,1119996
40382,1125539
42002,1122099
42442,1121410
42999,1123453
43037,1123443
46671,1151479
58929,1238076
59242,1238291
61524,1237610
65205,1243181
65228,1242272
65247,1242218
66363,1228812
66967,1230329
70050,1233346
75511,1258486
78508,1264675
85892,1253001
114077,1217548
117015,1022067
117112,1021932
117781,1022899
119451,1018341
120777,1026360
121653,1027532
124628,1009307
125324,1012035
125364,1012099
126173,1007836
128254,1015200
141183,1028045
142110,1029090
147392,981066
151005,985334
155092,969882
157749,975935
159034,974500
161526,999609
164306,1004243
166566,1000255
170384,986668
170463,986660
185005,1080915
186757,1086941
190520,1109117
194122,1113592
194828,1114671
195297,1111573
211135,1061593
215508,1053264
216950,1054415
217083,1054155
220528,1075447
222757,1078963
222768,1078978
227880,1067333
237480,1467278
288943,1441140
290204,1439465
293123,1533889
300854,1522925
369497,1326404
391780,1297454
407945,1387020
409068,1395419
414811,1376903
415597,1383921
417920,1380217
418086,1382133
418825,1381659
426406,1399743
428334,1397405
429425,1398250
431573,1406450
432749,1403939
436054,1348540
444305,1341273
453230,1373443
455025,1371194
462901,332542
463524,331912
463595,332015
463697,334593
464201,333295
464254,333399
464273,333444
464294,333363
464303,333380
464316,333996
464359,333967
464390,334144
464485,333882
464519,333830
464627,328862
464776,329227
464853,329284
465082,327861
465122,327563
465227,328298
465273,328259
465311,328356
465419,328143
465562,330614
465570,330448
465655,330510
465735,331280
465940,329677
466185,330249
466196,330340
466207,330355
466219,330257
466441,340340
466500,339887
466564,339973
466594,340640
466645,340762
466835,339191
466900,339281
467051,339654
467067,339684
467213,339451
467294,342232
467364,342262
467439,341970
467480,341992
467630,342466
467688,342613
467835,341237
467984,341608
468016,341798
468037,341814
468159,341486
468425,336808
468540,336570
468580,336599
468636,336653
468719,335557
468775,335195
469318,338034
469758,337039
469950,337497
470194,317168
470317,317895
470526,316489
470731,316791
470845,316573
470917,316701
470964,319069
471108,319026
471117,319020
471130,318958
471359,319399
471456,318359
471519,317955
471663,318791
471774,318470
472006,313542
472086,314175
472391,312793
472458,312499
472837,315545
472872,315279
473106,315719
473166,315827
473211,314576
473362,314321
473381,314470
473491,315135
473493,315137
473567,314802
473568,314801
473759,325010
474115,323950
474338,324150
474794,327010
474831,327289
475089,326064
475138,325662
475206,325790
475269,326407
475324,326516
475588,321088
475665,320868
475859,321189
475975,319980
475982,319993
476053,319801
476104,319842
476187,320518
476363,320300
476686,323577
